Date,Cases,Deaths
15-Feb-20,0,0
16-Feb-20,0,0
17-Feb-20,0,0
18-Feb-20,0,0
19-Feb-20,0,0
20-Feb-20,0,0
21-Feb-20,0,0
22-Feb-20,0,0
23-Feb-20,0,0
24-Feb-20,0,0
25-Feb-20,0,0
26-Feb-20,0,0
27-Feb-20,0,0
28-Feb-20,3,0
29-Feb-20,0,0
1-Mar-20,4,0
2-Mar-20,0,0
3-Mar-20,7,0
4-Mar-20,14,0
5-Mar-20,5,0
6-Mar-20,28,0
7-Mar-20,10,0
8-Mar-20,6,0
9-Mar-20,18,0
10-Mar-20,12,0
11-Mar-20,20,0
12-Mar-20,9,0
13-Mar-20,39,0
14-Mar-20,41,0
15-Mar-20,190,0
16-Mar-20,138,0
17-Mar-20,107,2
18-Mar-20,117,0
19-Mar-20,110,0
20-Mar-20,130,1
21-Mar-20,153,5
22-Mar-20,123,2
23-Mar-20,212,4
24-Mar-20,106,2
25-Mar-20,172,4
26-Mar-20,235,3
27-Mar-20,130,3
28-Mar-20,159,1
29-Mar-20,150,8
30-Mar-20,156,2
31-Mar-20,140,6
1-Apr-20,142,2
2-Apr-20,208,5
3-Apr-20,217,3
4-Apr-20,150,4
5-Apr-20,179,4
6-Apr-20,131,1
7-Apr-20,170,1
8-Apr-20,156,2
9-Apr-20,109,2
10-Apr-20,118,3
11-Apr-20,184,3
12-Apr-20,153,3
13-Apr-20,134,1
14-Apr-20,170,5
15-Apr-20,85,1
16-Apr-20,110,1
17-Apr-20,69,2
18-Apr-20,54,2
19-Apr-20,84,1
20-Apr-20,36,0
21-Apr-20,57,3
22-Apr-20,50,1
23-Apr-20,71,2
24-Apr-20,88,1
25-Apr-20,51,2
26-Apr-20,38,0
27-Apr-20,40,1
28-Apr-20,31,1
29-Apr-20,94,0
30-Apr-20,57,2
1-May-20,69,1
2-May-20,105,0
3-May-20,122,2
4-May-20,55,0
5-May-20,30,1
6-May-20,45,1
7-May-20,39,0
8-May-20,68,0
9-May-20,54,1
10-May-20,67,0
11-May-20,70,1
12-May-20,16,0
13-May-20,37,2
14-May-20,40,1
15-May-20,36,0
16-May-20,17,1
17-May-20,22,0
18-May-20,47,0
19-May-20,37,1
20-May-20,31,0
21-May-20,50,0
22-May-20,78,1
23-May-20,48,0
24-May-20,60,0
25-May-20,172,0
26-May-20,187,0
27-May-20,15,0
28-May-20,10,0
29-May-20,103,0
30-May-20,30,0
31-May-20,57,0
1-Jun-20,38,0
2-Jun-20,20,0
3-Jun-20,93,0
4-Jun-20,277,0
5-Jun-20,19,1
6-Jun-20,37,1
7-Jun-20,19,0
8-Jun-20,7,0
9-Jun-20,7,0
10-Jun-20,2,1
11-Jun-20,31,0
12-Jun-20,33,1
13-Jun-20,43,1
14-Jun-20,8,1
15-Jun-20,41,0
16-Jun-20,11,0
17-Jun-20,10,0
18-Jun-20,14,0
19-Jun-20,6,0
20-Jun-20,21,0
21-Jun-20,16,0
22-Jun-20,15,0
23-Jun-20,3,0
24-Jun-20,6,0
25-Jun-20,4,0
26-Jun-20,6,0
27-Jun-20,10,0
28-Jun-20,18,0
29-Jun-20,3,0
30-Jun-20,2,0
1-Jul-20,1,0
2-Jul-20,3,0
3-Jul-20,5,0
4-Jul-20,10,0
5-Jul-20,5,0
6-Jul-20,5,0
7-Jul-20,6,0
8-Jul-20,3,0
9-Jul-20,6,0
10-Jul-20,13,0
11-Jul-20,8,1
12-Jul-20,14,0
13-Jul-20,7,0
14-Jul-20,4,0
15-Jul-20,5,0
16-Jul-20,3,0
17-Jul-20,18,0
18-Jul-20,9,0
19-Jul-20,15,1
20-Jul-20,21,0
21-Jul-20,15,0
22-Jul-20,16,0
23-Jul-20,9,0
24-Jul-20,21,0
25-Jul-20,23,0
26-Jul-20,13,1
27-Jul-20,7,0
28-Jul-20,39,0
29-Jul-20,13,0
30-Jul-20,8,0
31-Jul-20,12,1
1-Aug-20,9,0
2-Aug-20,14,0
3-Aug-20,2,0
4-Aug-20,1,0
5-Aug-20,21,0
6-Aug-20,15,0
7-Aug-20,25,0
8-Aug-20,7,0
9-Aug-20,13,0
10-Aug-20,11,0
11-Aug-20,9,0
12-Aug-20,11,0
13-Aug-20,15,0
14-Aug-20,20,0
15-Aug-20,26,0
16-Aug-20,25,0
17-Aug-20,12,0
18-Aug-20,7,0
19-Aug-20,16,0
20-Aug-20,5,0
21-Aug-20,9,0
22-Aug-20,8,0
23-Aug-20,10,0
24-Aug-20,7,0
25-Aug-20,11,0
26-Aug-20,6,0
27-Aug-20,5,0
28-Aug-20,10,0
29-Aug-20,11,0
30-Aug-20,17,1
31-Aug-20,6,1
1-Sep-20,14,1
2-Sep-20,6,0
3-Sep-20,14,0
4-Sep-20,11,0
5-Sep-20,6,0
6-Sep-20,6,0
7-Sep-20,62,0
8-Sep-20,100,0
9-Sep-20,24,0
10-Sep-20,45,0
11-Sep-20,182,0
12-Sep-20,58,0
13-Sep-20,47,0
14-Sep-20,31,0
15-Sep-20,23,0
16-Sep-20,62,0
17-Sep-20,21,0
18-Sep-20,95,1
19-Sep-20,20,1
20-Sep-20,52,0
21-Sep-20,57,0
22-Sep-20,82,0
23-Sep-20,147,3
24-Sep-20,71,0
25-Sep-20,111,0
26-Sep-20,82,0
27-Sep-20,150,1
28-Sep-20,115,0
29-Sep-20,101,0
30-Sep-20,89,2
1-Oct-20,260,0
2-Oct-20,287,0
3-Oct-20,317,1
4-Oct-20,293,0
5-Oct-20,432,0
6-Oct-20,691,4
7-Oct-20,489,0
8-Oct-20,375,5
9-Oct-20,354,6
10-Oct-20,374,3
11-Oct-20,561,2
12-Oct-20,563,2
13-Oct-20,660,4
14-Oct-20,660,4
15-Oct-20,589,3
16-Oct-20,629,6
17-Oct-20,869,4
18-Oct-20,871,7
19-Oct-20,865,3
20-Oct-20,862,3
21-Oct-20,732,6
22-Oct-20,847,5
23-Oct-20,710,10
24-Oct-20,1228,7
25-Oct-20,823,8
26-Oct-20,1240,7
27-Oct-20,835,2
28-Oct-20,801,8
29-Oct-20,649,0
30-Oct-20,799,3
31-Oct-20,659,0
1-Nov-20,957,0
2-Nov-20,834,2
3-Nov-20,1054,12
4-Nov-20,1032,8
5-Nov-20,1009,6
6-Nov-20,1755,2
7-Nov-20,1168,3
8-Nov-20,852,4
9-Nov-20,972,8
10-Nov-20,869,6
11-Nov-20,822,2
12-Nov-20,919,1
13-Nov-20,1304,1
14-Nov-20,1114,2
15-Nov-20,1208,3
16-Nov-20,1103,4
17-Nov-20,1210,5
18-Nov-20,660,4
19-Nov-20,1290,4
20-Nov-20,958,3
21-Nov-20,1041,3
22-Nov-20,1096,3
23-Nov-20,1884,2
24-Nov-20,2188,4
25-Nov-20,970,4
26-Nov-20,935,3
27-Nov-20,1109,2
28-Nov-20,1315,4
29-Nov-20,1309,3
30-Nov-20,1212,3
1-Dec-20,1472,3
2-Dec-20,851,2
3-Dec-20,1075,11
4-Dec-20,1141,0
5-Dec-20,1123,4
6-Dec-20,1335,2
7-Dec-20,1600,2
8-Dec-20,1012,4
9-Dec-20,959,5
10-Dec-20,2234,3
11-Dec-20,1810,6
12-Dec-20,1937,9
13-Dec-20,1229,4
14-Dec-20,1371,4
15-Dec-20,1772,3
16-Dec-20,1295,7
17-Dec-20,1220,3
18-Dec-20,1683,0
19-Dec-20,1153,1
20-Dec-20,1340,4
21-Dec-20,2018,1
22-Dec-20,2062,1
23-Dec-20,1348,5
24-Dec-20,1581,2
25-Dec-20,1247,3
26-Dec-20,2335,2
27-Dec-20,1196,1
28-Dec-20,1594,3
29-Dec-20,1925,2
30-Dec-20,1870,6
31-Dec-20,2525,8
1-Jan-21,2068,3
2-Jan-21,2295,9
3-Jan-21,1704,11
4-Jan-21,1741,7
5-Jan-21,2027,8
6-Jan-21,2593,4
7-Jan-21,3027,8
8-Jan-21,2643,16
9-Jan-21,2451,5
10-Jan-21,2433,9
11-Jan-21,2232,4
12-Jan-21,3309,4
13-Jan-21,2985,4
14-Jan-21,3337,15
15-Jan-21,3211,8
16-Jan-21,4029,8
17-Jan-21,3339,7
18-Jan-21,3306,4
19-Jan-21,3631,14
20-Jan-21,4008,11
21-Jan-21,3170,12
22-Jan-21,3631,18
23-Jan-21,4275,7
24-Jan-21,3346,11
25-Jan-21,3048,11
26-Jan-21,3585,11
27-Jan-21,3680,7
28-Jan-21,4094,10
29-Jan-21,5725,16
30-Jan-21,5728,13
31-Jan-21,5298,14
1-Feb-21,4214,10
2-Feb-21,3455,21
3-Feb-21,4284,18
4-Feb-21,4571,17
5-Feb-21,3391,19
6-Feb-21,3847,12
7-Feb-21,3731,15
8-Feb-21,3100,24
9-Feb-21,2764,13
10-Feb-21,3288,14
11-Feb-21,3384,13
12-Feb-21,3318,17
13-Feb-21,3499,5
14-Feb-21,2464,7
15-Feb-21,2176,10
16-Feb-21,2720,8
17-Feb-21,2998,22
18-Feb-21,2712,25
19-Feb-21,2936,13
20-Feb-21,2461,8
21-Feb-21,3297,5
22-Feb-21,2192,6
23-Feb-21,2468,14
24-Feb-21,3545,12
25-Feb-21,1924,12
26-Feb-21,2253,11
27-Feb-21,2364,10
28-Feb-21,2437,9
1-Mar-21,1828,5
2-Mar-21,1555,6
3-Mar-21,1745,7
4-Mar-21,2063,5
5-Mar-21,2154,6
6-Mar-21,1680,7
7-Mar-21,1683,3
8-Mar-21,1529,8
9-Mar-21,1280,9
10-Mar-21,1448,5
11-Mar-21,1647,9
12-Mar-21,1575,3
13-Mar-21,1470,3
14-Mar-21,1354,4
15-Mar-21,1208,3
16-Mar-21,1063,5
17-Mar-21,1219,2
18-Mar-21,1213,3
19-Mar-21,1576,2
20-Mar-21,1671,4
21-Mar-21,1327,4
22-Mar-21,1116,5
23-Mar-21,1384,6
24-Mar-21,1268,2
25-Mar-21,1360,2
26-Mar-21,1275,1
27-Mar-21,1199,2
28-Mar-21,1302,4
29-Mar-21,941,5
30-Mar-21,1133,5
31-Mar-21,1482,7
1-Apr-21,1178,6
2-Apr-21,1294,5
3-Apr-21,1638,3
4-Apr-21,1349,2
5-Apr-21,1070,7
6-Apr-21,1300,5
7-Apr-21,1139,4
8-Apr-21,1285,4
9-Apr-21,1854,5
10-Apr-21,1510,8
11-Apr-21,1739,8
12-Apr-21,1317,4
13-Apr-21,1767,12
14-Apr-21,1889,8
15-Apr-21,2148,10
16-Apr-21,2551,2
17-Apr-21,2331,5
18-Apr-21,2195,8
19-Apr-21,2078,8
20-Apr-21,2341,3
21-Apr-21,2340,11
22-Apr-21,2875,7
23-Apr-21,2847,8
24-Apr-21,2717,11
25-Apr-21,2690,10
26-Apr-21,2776,13
27-Apr-21,2733,13
28-Apr-21,3142,15
29-Apr-21,3332,15
30-Apr-21,3788,14
1-May-21,2881,15
2-May-21,3418,12
3-May-21,2500,18
4-May-21,3120,23
5-May-21,3744,17
6-May-21,3551,19
7-May-21,4498,22
8-May-21,4519,25
9-May-21,3733,26
10-May-21,3807,17
11-May-21,3973,22
12-May-21,4765,39
13-May-21,4855,27
14-May-21,4113,34
15-May-21,4140,44
16-May-21,3780,36
17-May-21,4446,45
18-May-21,4865,47
19-May-21,6075,46
20-May-21,6806,59
21-May-21,6493,50
22-May-21,6320,50
23-May-21,6976,49
24-May-21,6509,61
25-May-21,7289,60
26-May-21,7478,63
27-May-21,7857,59
28-May-21,8290,61
29-May-21,9020,98
30-May-21,6999,79
31-May-21,6824,67
1-Jun-21,7105,71
2-Jun-21,7703,126
3-Jun-21,8209,103
4-Jun-21,7748,86
5-Jun-21,7452,109
6-Jun-21,6241,87
7-Jun-21,5271,82
8-Jun-21,5566,76
9-Jun-21,6239,75
10-Jun-21,5671,73
11-Jun-21,6849,84
12-Jun-21,5793,76
13-Jun-21,5304,64
14-Jun-21,4949,60
15-Jun-21,5419,101
16-Jun-21,5150,73
17-Jun-21,5738,60
18-Jun-21,6440,74
19-Jun-21,5911,72
20-Jun-21,5293,60
21-Jun-21,4611,69
22-Jun-21,4743,77
23-Jun-21,5244,83
24-Jun-21,5841,84
25-Jun-21,5812,82
26-Jun-21,5803,81
27-Jun-21,5586,60
28-Jun-21,5218,57
29-Jun-21,6437,107
30-Jun-21,6276,62
1-Jul-21,6988,84
2-Jul-21,6982,73
3-Jul-21,6658,107
4-Jul-21,6045,63
5-Jul-21,6387,77
6-Jul-21,7654,103
7-Jul-21,7097,91
8-Jul-21,8868,135
9-Jul-21,9180,77
10-Jul-21,9353,87
11-Jul-21,9105,91
12-Jul-21,8574,102
13-Jul-21,11079,125
14-Jul-21,11618,118
